filename,width,height,class,xmin,ymin,xmax,ymax
173.jpg,640,427,plate,56,389,120,409
173.jpg,640,427,plate,296,365,368,393
173.jpg,640,427,plate,505,372,578,398
175.jpg,700,393,plate,172,340,278,376
175.jpg,700,393,plate,395,240,451,264
175.jpg,700,393,plate,493,340,581,387
175.jpg,700,393,plate,604,303,658,338
176.jpg,275,183,plate,126,134,180,162
176.jpg,275,183,plate,247,77,269,85
176.jpg,275,183,plate,105,69,125,77
176.jpg,275,183,plate,207,62,221,67
178.jpg,360,240,plate,64,77,126,103
178.jpg,360,240,plate,159,56,206,79
178.jpg,360,240,plate,251,47,289,66
179.jpg,750,500,plate,443,60,532,110
180.jpg,700,465,plate,1,145,65,181
180.jpg,700,465,plate,76,79,113,107
180.jpg,700,465,plate,155,81,208,113
180.jpg,700,465,plate,281,101,366,151
180.jpg,700,465,plate,486,129,632,197
181.jpg,696,393,plate,121,177,196,197
181.jpg,696,393,plate,357,205,425,233
181.jpg,696,393,plate,432,137,464,154
181.jpg,696,393,plate,513,139,535,160
183.jpg,224,224,plate,86,79,197,124
184.jpg,300,168,plate,1,69,36,86
184.jpg,300,168,plate,79,66,121,83
184.jpg,300,168,plate,174,70,217,88
184.jpg,300,168,plate,252,73,300,91
184.jpg,300,168,plate,197,15,213,21
184.jpg,300,168,plate,166,14,181,19
184.jpg,300,168,plate,137,16,152,23
184.jpg,300,168,plate,109,19,122,25
185.jpg,0,0,plate,402,131,460,199
187.jpg,246,205,plate,141,52,186,75
188.jpg,268,188,plate,69,127,106,147
19.jpg,835,600,plate,603,342,694,381
190.jpg,318,159,plate,64,127,94,152
191.jpg,0,0,plate,25,270,135,337
191.jpg,0,0,plate,258,220,342,261
191.jpg,0,0,plate,401,180,462,204
193.jpg,1152,1536,plate,504,1118,639,1165
194.jpg,600,450,plate,187,162,240,181
196.jpg,2048,1536,plate,921,1067,1103,1147
196.jpg,2048,1536,plate,148,1108,269,1160
197.jpg,680,421,plate,365,342,421,362
199.jpg,750,500,plate,180,370,228,385
199.jpg,750,500,plate,585,344,618,359
2.jpg,318,159,plate,159,82,192,94
200.jpg,720,405,plate,432,375,486,400
201.jpg,275,183,plate,98,151,121,160
202.jpg,294,171,plate,72,159,94,167
203.jpg,302,167,plate,252,145,269,153
205.jpg,320,320,plate,126,200,187,220
206.jpg,500,500,plate,364,327,410,345
207.jpg,259,194,plate,104,129,131,139
208.jpg,259,194,plate,114,129,159,145
209.jpg,296,170,plate,133,107,183,122
21.jpg,259,194,plate,22,102,38,114
210.jpg,225,225,plate,93,160,131,170
211.jpg,640,480,plate,148,412,195,438
212.jpg,320,240,plate,208,176,230,188
214.jpg,640,359,plate,263,288,352,320
215.jpg,375,500,plate,164,380,226,401
217.jpg,350,437,plate,41,303,118,329
218.jpg,500,500,plate,197,368,286,396
22.jpg,227,170,plate,181,92,199,100
220.jpg,259,194,plate,161,134,189,142
221.jpg,225,225,plate,40,161,64,175
223.jpg,260,194,plate,65,131,90,142
224.jpg,259,194,plate,50,149,76,166
225.jpg,640,480,plate,96,338,135,362
226.jpg,768,432,plate,180,330,257,368
227.jpg,640,479,plate,251,420,362,452
228.jpg,333,206,plate,236,142,266,170
229.jpg,667,500,plate,294,404,408,441
23.jpg,274,184,plate,59,106,83,119
25.jpg,299,168,plate,233,117,265,132
26.jpg,0,0,plate,178,319,240,361
28.jpg,320,240,plate,232,194,257,207
29.jpg,500,500,plate,362,354,419,386
30.jpg,500,500,plate,433,363,468,389
301.jpeg,750,500,plate,277,356,365,388
302.jpg,298,169,plate,65,133,109,152
303.jpg,720,405,plate,139,311,210,332
303.jpg,720,405,plate,409,276,448,295
304.jpg,600,400,plate,355,295,389,327
304.jpg,600,400,plate,249,260,264,276
305.jpg,680,421,plate,440,339,539,376
305.jpg,680,421,plate,68,208,84,215
305.jpg,680,421,plate,98,210,111,217
305.jpg,680,421,plate,38,205,52,213
306.jpg,512,384,plate,266,291,309,310
306.jpg,512,384,plate,90,271,117,289
306.jpg,512,384,plate,1,255,15,267
307.jpg,1152,576,plate,526,448,702,512
308.jpg,700,393,plate,11,277,88,305
308.jpg,700,393,plate,300,283,354,301
308.jpg,700,393,plate,544,187,602,210
309.jpg,640,360,plate,139,158,185,171
309.jpg,640,360,plate,431,193,494,214
309.jpg,640,360,plate,604,178,639,200
31.jpg,490,310,plate,382,215,423,249
31.jpg,490,310,plate,1,116,21,127
310.jpeg,700,394,plate,58,224,139,253
310.jpeg,700,394,plate,1,229,61,256
310.jpeg,700,394,plate,395,166,452,186
310.jpeg,700,394,plate,544,101,574,112
310.jpeg,700,394,plate,652,108,679,117
310.jpeg,700,394,plate,607,89,628,96
311.jpg,750,500,plate,116,426,192,463
311.jpg,750,500,plate,437,259,491,281
311.jpg,750,500,plate,581,194,628,212
311.jpg,750,500,plate,697,190,720,200
311.jpg,750,500,plate,317,164,334,175
311.jpg,750,500,plate,279,134,292,140
311.jpg,750,500,plate,335,148,346,156
312.jpg,700,393,plate,284,295,350,322
312.jpg,700,393,plate,62,195,104,211
312.jpg,700,393,plate,113,150,135,160
312.jpg,700,393,plate,172,141,193,149
312.jpg,700,393,plate,43,144,60,153
312.jpg,700,393,plate,10,117,26,123
313.jpg,640,360,plate,42,287,78,301
313.jpg,640,360,plate,309,195,339,206
313.jpg,640,360,plate,487,318,519,330
313.jpg,640,360,plate,171,143,198,152
313.jpg,640,360,plate,138,167,156,175
313.jpg,640,360,plate,584,19,599,24
314.jpg,675,466,plate,464,353,544,381
314.jpg,675,466,plate,195,368,236,383
314.jpg,675,466,plate,355,302,369,311
315.jpg,640,360,plate,471,297,559,325
316.jpg,700,393,plate,602,128,626,138
316.jpg,700,393,plate,144,346,252,392
317.jpg,700,393,plate,1,272,106,330
318.jpg,700,465,plate,216,402,309,457
319.jpg,620,413,plate,340,251,414,273
32.jpg,259,194,plate,47,115,82,136
320.jpeg,650,365,plate,528,324,549,331
320.jpeg,650,365,plate,426,302,445,309
320.jpeg,650,365,plate,478,243,494,249
320.jpeg,650,365,plate,421,216,435,221
320.jpeg,650,365,plate,377,315,398,322
320.jpeg,650,365,plate,372,198,384,204
320.jpeg,650,365,plate,377,172,389,177
320.jpeg,650,365,plate,323,231,336,235
320.jpeg,650,365,plate,266,273,283,279
320.jpeg,650,365,plate,231,305,251,312
320.jpeg,650,365,plate,268,342,281,348
320.jpeg,650,365,plate,198,351,212,357
320.jpeg,650,365,plate,126,313,147,321
320.jpeg,650,365,plate,59,328,73,334
320.jpeg,650,365,plate,232,220,247,225
320.jpeg,650,365,plate,156,234,166,238
320.jpeg,650,365,plate,117,236,128,242
320.jpeg,650,365,plate,60,227,71,232
320.jpeg,650,365,plate,282,188,291,192
320.jpeg,650,365,plate,331,159,341,164
320.jpeg,650,365,plate,260,156,271,161
320.jpeg,650,365,plate,206,182,216,186
320.jpeg,650,365,plate,226,144,236,149
320.jpeg,650,365,plate,286,149,294,152
320.jpeg,650,365,plate,90,187,101,192
320.jpeg,650,365,plate,72,194,82,198
320.jpeg,650,365,plate,138,190,150,194
320.jpeg,650,365,plate,169,155,180,160
320.jpeg,650,365,plate,134,125,142,129
320.jpeg,650,365,plate,250,113,257,116
321.jpg,360,240,plate,74,126,94,133
321.jpg,360,240,plate,55,128,72,135
321.jpg,360,240,plate,173,117,196,125
321.jpg,360,240,plate,204,127,224,134
321.jpg,360,240,plate,315,122,337,130
321.jpg,360,240,plate,240,114,248,121
321.jpg,360,240,plate,302,96,313,102
322.jpg,640,360,plate,37,343,66,353
322.jpg,640,360,plate,67,291,87,301
322.jpg,640,360,plate,124,255,151,265
322.jpg,640,360,plate,183,216,215,227
322.jpg,640,360,plate,428,220,453,230
322.jpg,640,360,plate,596,280,621,289
322.jpg,640,360,plate,524,231,562,243
322.jpg,640,360,plate,399,198,414,207
322.jpg,640,360,plate,419,145,450,155
322.jpg,640,360,plate,304,164,324,173
322.jpg,640,360,plate,26,161,59,171
322.jpg,640,360,plate,101,112,122,123
322.jpg,640,360,plate,66,54,85,63
322.jpg,640,360,plate,186,51,208,59
322.jpg,640,360,plate,243,89,259,97
322.jpg,640,360,plate,286,104,301,112
322.jpg,640,360,plate,333,90,351,95
322.jpg,640,360,plate,369,73,380,79
323.jpeg,650,365,plate,410,189,468,208
323.jpeg,650,365,plate,536,119,569,130
323.jpeg,650,365,plate,377,111,405,120
323.jpeg,650,365,plate,238,131,276,146
323.jpeg,650,365,plate,65,166,118,184
324.jpg,681,389,plate,478,232,514,244
324.jpg,681,389,plate,613,248,662,262
324.jpg,681,389,plate,443,202,464,216
324.jpg,681,389,plate,469,131,512,146
324.jpg,681,389,plate,315,156,341,168
324.jpg,681,389,plate,72,280,108,293
324.jpg,681,389,plate,1,330,21,340
324.jpg,681,389,plate,148,228,195,241
324.jpg,681,389,plate,289,75,310,86
324.jpg,681,389,plate,354,57,376,64
324.jpg,681,389,plate,401,33,418,42
324.jpg,681,389,plate,231,58,251,64
324.jpg,681,389,plate,42,88,66,100
324.jpg,681,389,plate,153,5,181,14
325.jpg,750,500,plate,152,357,202,375
325.jpg,750,500,plate,368,364,428,379
326.jpg,620,355,plate,238,201,275,215
326.jpg,620,355,plate,482,189,539,205
326.jpg,620,355,plate,555,205,593,215
326.jpg,620,355,plate,359,205,393,215
326.jpg,620,355,plate,86,213,114,222
326.jpg,620,355,plate,158,214,176,222
326.jpg,620,355,plate,305,209,332,218
327.jpg,800,533,plate,275,344,355,368
327.jpg,800,533,plate,523,281,581,297
327.jpg,800,533,plate,1,270,20,281
328.jpg,620,451,plate,136,352,186,364
328.jpg,620,451,plate,307,380,349,393
328.jpg,620,451,plate,406,336,438,348
328.jpg,620,451,plate,526,322,555,330
329.jpg,465,276,plate,73,184,134,209
329.jpg,465,276,plate,408,129,428,137
329.jpg,465,276,plate,264,104,273,109
330.jpg,318,159,plate,116,138,157,151
330.jpg,318,159,plate,290,117,318,132
330.jpg,318,159,plate,206,86,227,96
331.jpg,640,360,plate,282,244,312,257
331.jpg,640,360,plate,444,225,472,236
331.jpg,640,360,plate,214,216,232,224
332.jpg,448,285,plate,29,265,58,277
332.jpg,448,285,plate,108,240,129,250
332.jpg,448,285,plate,169,248,187,257
332.jpg,448,285,plate,245,258,269,269
332.jpg,448,285,plate,327,245,341,251
332.jpg,448,285,plate,413,246,427,252
333.jpg,383,288,plate,9,200,25,206
333.jpg,383,288,plate,111,203,126,208
333.jpg,383,288,plate,170,218,182,223
333.jpg,383,288,plate,200,252,213,257
333.jpg,383,288,plate,221,227,235,231
333.jpg,383,288,plate,296,218,310,224
333.jpg,383,288,plate,355,220,365,225
333.jpg,383,288,plate,271,199,282,204
333.jpg,383,288,plate,263,185,270,190
333.jpg,383,288,plate,190,218,207,224
333.jpg,383,288,plate,141,164,152,169
334.jpg,700,465,plate,344,392,366,400
334.jpg,700,465,plate,490,383,508,390
334.jpg,700,465,plate,276,384,292,390
334.jpg,700,465,plate,186,398,201,403
336.jpg,739,457,plate,91,259,118,268
336.jpg,739,457,plate,210,342,249,356
336.jpg,739,457,plate,352,407,379,414
336.jpg,739,457,plate,453,380,475,389
336.jpg,739,457,plate,525,357,552,368
336.jpg,739,457,plate,371,312,393,321
336.jpg,739,457,plate,449,279,472,287
336.jpg,739,457,plate,489,243,507,251
336.jpg,739,457,plate,656,277,675,285
336.jpg,739,457,plate,549,254,566,263
336.jpg,739,457,plate,614,238,631,243
336.jpg,739,457,plate,453,204,470,211
336.jpg,739,457,plate,568,207,584,214
336.jpg,739,457,plate,552,162,568,168
336.jpg,739,457,plate,581,151,599,158
336.jpg,739,457,plate,437,176,451,182
336.jpg,739,457,plate,400,167,412,171
336.jpg,739,457,plate,475,151,492,158
336.jpg,739,457,plate,533,126,542,130
336.jpg,739,457,plate,517,109,531,115
336.jpg,739,457,plate,495,185,506,192
336.jpg,739,457,plate,435,259,443,266
336.jpg,739,457,plate,640,187,656,193
336.jpg,739,457,plate,651,148,662,152
336.jpg,739,457,plate,727,277,737,284
337.jpg,480,319,plate,108,138,119,142
337.jpg,480,319,plate,178,136,188,140
337.jpg,480,319,plate,248,163,261,169
337.jpg,480,319,plate,318,159,332,164
337.jpg,480,319,plate,306,103,316,107
338.jpg,285,177,plate,191,152,211,159
338.jpg,285,177,plate,272,88,284,93
338.jpg,285,177,plate,223,59,233,63
339.jpg,259,194,plate,210,157,228,162
339.jpg,259,194,plate,1,147,18,156
339.jpg,259,194,plate,86,126,92,129
34.jpg,168,300,plate,64,208,104,221
340.jpg,1920,1080,plate,407,757,482,785
340.jpg,1920,1080,plate,714,726,768,751
340.jpg,1920,1080,plate,858,700,893,716
341.jpg,308,164,plate,109,125,141,137
341.jpg,308,164,plate,259,92,278,99
342.jpg,531,350,plate,20,198,49,205
342.jpg,531,350,plate,167,200,199,210
342.jpg,531,350,plate,136,202,163,213
342.jpg,531,350,plate,327,184,366,196
342.jpg,531,350,plate,382,199,411,208
342.jpg,531,350,plate,434,178,453,189
35.jpg,768,432,plate,305,351,387,399
37.jpg,640,480,plate,454,380,530,418
4.jpg,301,167,plate,79,108,108,124
40.jpg,640,480,plate,407,349,518,404
41.jpg,307,164,plate,100,86,194,114
42.jpg,750,470,plate,373,318,510,372
43.jpg,299,168,plate,134,88,168,100
44.jpg,565,350,plate,345,240,512,309
46.jpg,300,168,plate,125,98,183,116
47.jpg,300,168,plate,110,105,158,122
47.jpg,300,168,plate,264,78,278,85
48.jpg,260,194,plate,123,154,144,164
49.jpg,300,168,plate,95,86,131,100
5.jpg,259,194,plate,104,126,168,149
50.jpg,290,173,plate,152,93,199,112
52.jpg,275,183,plate,59,111,105,122
53.jpg,1280,721,plate,493,362,770,447
54.jpg,720,682,plate,383,416,500,498
55.jpg,616,359,plate,216,194,292,218
56.jpg,800,419,plate,84,229,229,274
56.jpg,800,419,plate,389,177,490,212
56.jpg,800,419,plate,601,158,671,185
59.jpg,0,0,plate,158,173,273,209
6.jpg,460,345,plate,160,173,242,199
61.jpg,560,420,plate,217,195,300,246
61.jpg,560,420,plate,59,155,84,173
62.jpg,780,440,plate,364,311,451,372
62.jpg,780,440,plate,118,225,158,254
64.jpg,565,350,plate,85,294,159,331
65.jpg,700,393,plate,256,251,332,285
65.jpg,700,393,plate,633,214,674,237
67.jpg,700,394,plate,215,267,296,315
68.jpg,700,393,plate,108,349,199,388
68.jpg,700,393,plate,566,273,607,301
69.jpg,289,175,plate,140,127,180,143
7.jpg,640,427,plate,467,304,539,331
7.jpg,640,427,plate,57,226,96,238
7.jpg,640,427,plate,237,210,262,222
70.jpg,274,184,plate,90,105,123,118
71.jpg,300,168,plate,120,118,172,135
73.jpg,300,186,plate,160,97,189,106
74.jpg,533,400,plate,206,226,283,280
75.jpg,656,393,plate,200,249,286,278
75.jpg,656,393,plate,420,197,474,216
76.jpg,670,450,plate,298,250,389,283
77.jpg,680,421,plate,421,258,515,303
79.jpg,800,419,plate,81,358,182,416
79.jpg,800,419,plate,571,326,667,355
8.jpg,750,500,plate,310,334,379,361
80.jpg,0,0,plate,207,362,324,405
82.jpg,512,288,plate,136,207,199,234
83.jpg,810,450,plate,439,322,521,354
85.jpg,259,194,plate,102,111,165,129
86.jpg,259,194,plate,163,108,194,121
88.jpg,276,183,plate,61,132,83,144
89.jpg,500,500,plate,435,191,486,229
9.jpg,750,500,plate,297,343,342,370
9.jpg,750,500,plate,69,336,105,355
91.jpg,640,480,plate,186,276,378,345
92.jpg,900,675,plate,163,305,301,379
92.jpg,900,675,plate,3,248,42,269
93.jpg,900,900,plate,303,462,593,540
94.jpg,355,235,plate,137,134,216,163
95.jpg,500,500,plate,32,239,131,279
97.jpg,500,350,plate,97,168,191,220
98.jpg,900,675,plate,354,313,546,375
